"","Keys","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","52","k__Archaea","p__","c__","o__","f__","g__","s__"
"2","418158","k__Archaea","p__[Parvarchaeota]","c__[Micrarchaea]","o__[Micrarchaeles]","f__","g__","s__"
"3","4344030","k__Archaea","p__[Parvarchaeota]","c__[Micrarchaea]","o__pMC2A384","f__","g__","s__"
"4","200959","k__Archaea","p__[Parvarchaeota]","c__[Parvarchaea]","o__WCHD3-30","f__","g__","s__"
"5","4433471","k__Archaea","p__[Parvarchaeota]","c__[Parvarchaea]","o__YLA114","f__","g__","s__"
"6","2748305","k__Archaea","p__Crenarchaeota","c__","o__","f__","g__","s__"
"7","200378","k__Archaea","p__Crenarchaeota","c__AAG","o__","f__","g__","s__"
"8","126878","k__Archaea","p__Crenarchaeota","c__Aigarchaeota","o__","f__","g__","s__"
"9","838","k__Archaea","p__Crenarchaeota","c__Aigarchaeota","o__[Caldiarchales]","f__","g__","s__"
"10","278899","k__Archaea","p__Crenarchaeota","c__Aigarchaeota","o__[Caldiarchales]","f__[Caldiarchaceae]","g__","s__"
"11","4370637","k__Archaea","p__Crenarchaeota","c__Aigarchaeota","o__[Caldiarchales]","f__[Caldiarchaceae]","g__Caldiarchaeum","s__subterraneum"
"12","822059","k__Archaea","p__Crenarchaeota","c__Aigarchaeota","o__[Caldiarchales]","f__[Caldiarchaceae]","g__Candidatus Caldiarchaeum","s__"
"13","142513","k__Archaea","p__Crenarchaeota","c__Korarchaeota","o__Korarchaeotales","f__","g__","s__"
"14","142245","k__Archaea","p__Crenarchaeota","c__Korarchaeota","o__Korarchaeotales","f__Korarchaeotaceae","g__","s__"
"15","305952","k__Archaea","p__Crenarchaeota","c__Korarchaeota","o__Korarchaeotales","f__Korarchaeotaceae","g__Candidatus Korarchaeum","s__"
"16","159805","k__Archaea","p__Crenarchaeota","c__Korarchaeota","o__pJP78","f__","g__","s__"
"17","759347","k__Archaea","p__Crenarchaeota","c__MBGA","o__","f__","g__","s__"
"18","3644846","k__Archaea","p__Crenarchaeota","c__MBGA","o__NRP-J","f__","g__","s__"
"19","2345664","k__Archaea","p__Crenarchaeota","c__MBGB","o__","f__","g__","s__"
"20","630822","k__Archaea","p__Crenarchaeota","c__MCG","o__","f__","g__","s__"
"21","1961473","k__Archaea","p__Crenarchaeota","c__MCG","o__B10","f__","g__","s__"
"22","1113489","k__Archaea","p__Crenarchaeota","c__MCG","o__pGrfC26","f__","g__","s__"
"23","2804901","k__Archaea","p__Crenarchaeota","c__MHVG","o__","f__","g__","s__"
"24","141899","k__Archaea","p__Crenarchaeota","c__pISA9","o__","f__","g__","s__"
"25","533567","k__Archaea","p__Crenarchaeota","c__pOWA133","o__","f__","g__","s__"
"26","163550","k__Archaea","p__Crenarchaeota","c__pUWA2","o__","f__","g__","s__"
"27","4370636","k__Archaea","p__Crenarchaeota","c__Thaumarchaeota","o__","f__","g__","s__"
"28","204290","k__Archaea","p__Crenarchaeota","c__Thaumarchaeota","o__AK31","f__","g__","s__"
"29","690963","k__Archaea","p__Crenarchaeota","c__Thaumarchaeota","o__Cenarchaeales","f__","g__","s__"
"30","550649","k__Archaea","p__Crenarchaeota","c__Thaumarchaeota","o__Cenarchaeales","f__Cenarchaeaceae","g__","s__"
"31","1029","k__Archaea","p__Crenarchaeota","c__Thaumarchaeota","o__Cenarchaeales","f__Cenarchaeaceae","g__Cenarchaeum","s__symbiosum"
"32","108953","k__Archaea","p__Crenarchaeota","c__Thaumarchaeota","o__Cenarchaeales","f__Cenarchaeaceae","g__Nitrosopumilus","s__"
"33","656621","k__Archaea","p__Crenarchaeota","c__Thaumarchaeota","o__Cenarchaeales","f__SAGMA-X","g__","s__"
"34","1143180","k__Archaea","p__Crenarchaeota","c__Thaumarchaeota","o__Cenarchaeales","f__SAGMA-X","g__Nitrosotalea","s__devanaterra"
"35","581512","k__Archaea","p__Crenarchaeota","c__Thaumarchaeota","o__D-F10","f__","g__","s__"
"36","1121889","k__Archaea","p__Crenarchaeota","c__Thaumarchaeota","o__Nitrosocaldales","f__Nitrosocaldaceae","g__Candidatus Nitrosocaldus","s__"
"37","4400134","k__Archaea","p__Crenarchaeota","c__Thaumarchaeota","o__Nitrososphaerales","f__Nitrososphaeraceae","g__","s__"
"38","725404","k__Archaea","p__Crenarchaeota","c__Thaumarchaeota","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus Nitrososphaera","s__gargensis"
"39","142364","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__","f__","g__","s__"
"40","1723943","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Desulfurococcales","f__","g__","s__"
"41","509413","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Desulfurococcales","f__Desulfurococcaceae","g__","s__"
"42","914","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Desulfurococcales","f__Desulfurococcaceae","g__Aeropyrum","s__"
"43","177017","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Desulfurococcales","f__Desulfurococcaceae","g__Caldisphaera","s__"
"44","4478889","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Desulfurococcales","f__Desulfurococcaceae","g__Desulfurococcus","s__kamchatkensis"
"45","16514","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Desulfurococcales","f__Desulfurococcaceae","g__Ignicoccus","s__"
"46","4471291","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Desulfurococcales","f__Desulfurococcaceae","g__Staphylothermus","s__marinus"
"47","936","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Desulfurococcales","f__Desulfurococcaceae","g__Sulfophobococcus","s__zilligii"
"48","1629246","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Desulfurococcales","f__Desulfurococcaceae","g__Thermogladius","s__cellulolyticus"
"49","3630583","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Desulfurococcales","f__Desulfurococcaceae","g__Thermosphaera","s__aggregans"
"50","141513","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Desulfurococcales","f__Pyrodictiaceae","g__","s__"
"51","186470","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Desulfurococcales","f__Pyrodictiaceae","g__Hyperthermus","s__butylicus"
"52","570515","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Desulfurococcales","f__Pyrodictiaceae","g__Pyrodictium","s__occultum"
"53","73229","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Sulfolobales","f__Sulfolobaceae","g__","s__"
"54","4460209","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Sulfolobales","f__Sulfolobaceae","g__Acidianus","s__"
"55","166039","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Sulfolobales","f__Sulfolobaceae","g__Metallosphaera","s__"
"56","140752","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Sulfolobales","f__Sulfolobaceae","g__Stygiolobus","s__"
"57","183068","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Sulfolobales","f__Sulfolobaceae","g__Sulfolobus","s__"
"58","212332","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Thermoproteales","f__Thermofilaceae","g__","s__"
"59","4314695","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Thermoproteales","f__Thermoproteaceae","g__","s__"
"60","179370","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Thermoproteales","f__Thermoproteaceae","g__Acidilobus","s__sulfurireducens"
"61","2058825","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Thermoproteales","f__Thermoproteaceae","g__Caldivirga","s__maquilingensis"
"62","163529","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Thermoproteales","f__Thermoproteaceae","g__Pyrobaculum","s__"
"63","813726","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Thermoproteales","f__Thermoproteaceae","g__Thermocladium","s__"
"64","559851","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__Thermoproteales","f__Thermoproteaceae","g__Vulcanisaeta","s__distributa"
"65","112265","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__YNPFFA","f__","g__","s__"
"66","18084","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__YNPFFA","f__A13","g__","s__"
"67","4417511","k__Archaea","p__Crenarchaeota","c__Thermoprotei","o__YNPFFA","f__SK322","g__","s__"
"68","122438","k__Archaea","p__Crenarchaeota","c__THSCG","o__","f__","g__","s__"
"69","836020","k__Archaea","p__Euryarchaeota","c__ANME-1","o__","f__","g__","s__"
"70","210766","k__Archaea","p__Euryarchaeota","c__Archaeoglobi","o__Archaeoglobales","f__Archaeoglobaceae","g__","s__"
"71","108955","k__Archaea","p__Euryarchaeota","c__Archaeoglobi","o__Archaeoglobales","f__Archaeoglobaceae","g__Archaeoglobus","s__veneficus"
"72","100020","k__Archaea","p__Euryarchaeota","c__DSEG","o__","f__","g__","s__"
"73","770657","k__Archaea","p__Euryarchaeota","c__DSEG","o__104A5","f__","g__","s__"
"74","517082","k__Archaea","p__Euryarchaeota","c__DSEG","o__ArcA07","f__","g__","s__"
"75","606667","k__Archaea","p__Euryarchaeota","c__DSEG","o__DHVE3","f__","g__","s__"
"76","540377","k__Archaea","p__Euryarchaeota","c__DSEG","o__HydGC-84-221A","f__","g__","s__"
"77","100246","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__","g__","s__"
"78","4457801","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__","s__"
"79","304638","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__209ZB06","s__"
"80","636116","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__ArcF12","s__"
"81","736265","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__GA41","s__"
"82","163294","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Haladaptatus","s__"
"83","4416518","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halalkalicoccus","s__jeotgali"
"84","43283","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__haloarchaeon","s__98NT4"
"85","850485","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Haloarcula","s__"
"86","805106","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halobacteriaceae","s__GX26"
"87","1107197","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halobacteriales","s__YIM 93590"
"88","4449883","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halobacterium","s__"
"89","659454","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halobaculum","s__"
"90","692586","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halobellus","s__clavatus"
"91","737195","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halobiforma","s__nitratireducens"
"92","1127752","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halococcus","s__"
"93","530303","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Haloferax","s__"
"94","4451814","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halogeometricum","s__"
"95","3389207","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halogranum","s__"
"96","598007","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halolamina","s__"
"97","337957","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halomicrobium","s__"
"98","695515","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halonotius","s__"
"99","464512","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halopelagius","s__"
"100","1114397","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__halophilic","s__MK62-1"
"101","4176865","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halopiger","s__xanaduensis"
"102","1142852","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Haloplanus","s__"
"103","678262","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Haloquadratum","s__"
"104","609811","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halorhabdus","s__"
"105","551722","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halorientalis","s__regularis"
"106","4320041","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halorubrum","s__"
"107","633056","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halorussus","s__rarus"
"108","780128","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halosimplex","s__carlsbadense"
"109","542973","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halostagnicola","s__larsenii"
"110","846204","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Haloterrigena","s__"
"111","4308348","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halovivax","s__asiaticus"
"112","97250","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Natrialba","s__aibiensis"
"113","100467","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Natronococcus","s__"
"114","103455","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Natronolimnobius","s__innermongolicus"
"115","739481","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Natronomonas","s__"
"116","109519","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Natronorubrum","s__thiooxidans"
"117","732225","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__XKL75","s__"
"118","706267","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Halobacteriales","f__MSP41","g__","s__"
"119","691565","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__","g__","s__"
"120","139922","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__","s__"
"121","134","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobacterium","s__"
"122","94242","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobrevibacter","s__arboriphilus"
"123","150973","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanosphaera","s__"
"124","166509","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanothermobacter","s__thermautotrophicus"
"125","544697","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__MSBL1","g__","s__"
"126","136054","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__MSBL1","g__DL1A-100","s__"
"127","3138728","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__MSBL1","g__SAGMEG-1","s__"
"128","589892","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__pMC1","g__","s__"
"129","239879","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__pMC1","g__pMC1A4","s__"
"130","153250","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__WSA2","g__","s__"
"131","3743397","k__Archaea","p__Euryarchaeota","c__Methanococci","o__Methanococcales","f__","g__","s__"
"132","157349","k__Archaea","p__Euryarchaeota","c__Methanococci","o__Methanococcales","f__Methanocaldococcaceae","g__","s__"
"133","70924","k__Archaea","p__Euryarchaeota","c__Methanococci","o__Methanococcales","f__Methanocaldococcaceae","g__Methanocaldococcus","s__"
"134","158164","k__Archaea","p__Euryarchaeota","c__Methanococci","o__Methanococcales","f__Methanococcaceae","g__","s__"
"135","1706861","k__Archaea","p__Euryarchaeota","c__Methanococci","o__Methanococcales","f__Methanococcaceae","g__Methanococcus","s__"
"136","1139988","k__Archaea","p__Euryarchaeota","c__Methanococci","o__Methanococcales","f__Methanococcaceae","g__Methanothermococcus","s__thermolithotrophicus"
"137","1122791","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__","f__","g__","s__"
"138","144407","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__F99a103","f__","g__","s__"
"139","454059","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanocellales","f__","g__","s__"
"140","3485022","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanocellales","f__Methanocellaceae","g__","s__"
"141","141067","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanocellales","f__Methanocellaceae","g__Methanocella","s__"
"142","1110108","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__","g__","s__"
"143","1143841","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__D002025C03","g__","s__"
"144","565730","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanocorpusculaceae","g__","s__"
"145","794342","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanocorpusculaceae","g__Methanocalculus","s__"
"146","212362","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanocorpusculaceae","g__Methanocorpusculum","s__"
"147","4355526","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanomicrobiaceae","g__","s__"
"148","1127169","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanomicrobiaceae","g__Methanoculleus","s__"
"149","1137360","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanomicrobiaceae","g__Methanofollis","s__aquaemaris"
"150","157304","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanomicrobiaceae","g__Methanogenium","s__"
"151","157384","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanomicrobiaceae","g__Methanomicrobiaceae","s__HR3812"
"152","4367067","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanomicrobiaceae","g__Methanoplanus","s__"
"153","349926","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanoregulaceae","g__","s__"
"154","349670","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanoregulaceae","g__Candidatus Methanoregula","s__"
"155","166865","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanoregulaceae","g__Methanolinea","s__"
"156","4475393","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanoregulaceae","g__Methanosphaerula","s__palustris"
"157","716147","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanospirillaceae","g__","s__"
"158","517828","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanospirillaceae","g__Methanospirillum","s__"
"159","183181","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__","g__","s__"
"160","4212309","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__ANME-2a-2b","g__","s__"
"161","152374","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__ANME-2c","g__","s__"
"162","4398242","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__ANME-2D","g__","s__"
"163","793739","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosaetaceae","g__Methanosaeta","s__"
"164","343638","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__","s__"
"165","142727","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__ANME-3","s__"
"166","777754","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__HMMVBeg-29","s__"
"167","4400927","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanimicrococcus","s__blatticola"
"168","3323752","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanococcoides","s__"
"169","4032177","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanohalobium","s__evestigatum"
"170","2940299","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanohalophilus","s__halophilus"
"171","4426772","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanolobus","s__"
"172","1142715","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanomethylovorans","s__"
"173","2153390","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanosalsum","s__zhilinae"
"174","107074","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanosarcina","s__"
"175","4426771","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methermicoccaceae","g__","s__"
"176","4353965","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methermicoccaceae","g__Methermicoccus","s__shengliensis"
"177","301494","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__NRA6","f__","g__","s__"
"178","2528838","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__RCII","f__","g__","s__"
"179","210610","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__YC-E6","f__","g__","s__"
"180","239922","k__Archaea","p__Euryarchaeota","c__Methanopyri","o__Methanopyrales","f__Methanopyraceae","g__Methanopyrus","s__kandleri"
"181","799","k__Archaea","p__Euryarchaeota","c__Thermococci","o__Thermococcales","f__Thermococcaceae","g__","s__"
"182","776","k__Archaea","p__Euryarchaeota","c__Thermococci","o__Thermococcales","f__Thermococcaceae","g__hyperthermophilic","s__ES1"
"183","58788","k__Archaea","p__Euryarchaeota","c__Thermococci","o__Thermococcales","f__Thermococcaceae","g__Palaeococcus","s__"
"184","4418834","k__Archaea","p__Euryarchaeota","c__Thermococci","o__Thermococcales","f__Thermococcaceae","g__Pyrococcus","s__"
"185","4344999","k__Archaea","p__Euryarchaeota","c__Thermococci","o__Thermococcales","f__Thermococcaceae","g__Thermococcus","s__atlanticus"
"186","290192","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__E2","f__","g__","s__"
"187","4333187","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__E2","f__[Methanomassiliicoccaceae]","g__","s__"
"188","4022971","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__E2","f__[Methanomassiliicoccaceae]","g__Coxiella","s__burnetii"
"189","824847","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__E2","f__[Methanomassiliicoccaceae]","g__Methanomassiliicoccus","s__"
"190","284456","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__E2","f__[Methanomassiliicoccaceae]","g__vadinCA11","s__"
"191","2962506","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__E2","f__20c-4","g__","s__"
"192","1122964","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__E2","f__CCA47","g__","s__"
"193","1132230","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__E2","f__DHVEG-1","g__","s__"
"194","852395","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__E2","f__Marine group II","g__","s__"
"195","342565","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__E2","f__Marine group III","g__","s__"
"196","112017","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__E2","f__TMEG","g__","s__"
"197","278097","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__Thermoplasmatales","f__","g__","s__"
"198","4457345","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__Thermoplasmatales","f__[Aciduliprofundaceae]","g__","s__"
"199","813863","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__Thermoplasmatales","f__A10","g__","s__"
"200","4302826","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__Thermoplasmatales","f__BSLdp215","g__","s__"
"201","574224","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__Thermoplasmatales","f__Picrophilaceae","g__Ferroplasma","s__"
"202","4445049","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__Thermoplasmatales","f__Picrophilaceae","g__Ferroplasmaceae","s__WS"
"203","104684","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__Thermoplasmatales","f__Picrophilaceae","g__Picrophilus","s__torridus"
"204","213250","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__Thermoplasmatales","f__Picrophilaceae","g__Thermogymnomonas","s__"
"205","46145","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__Thermoplasmatales","f__Picrophilaceae","g__Thermoplasma","s__"
"206","4415874","k__Archaea","p__Nanoarchaeota","c__[Nanoarchaeoti]","o__[Nanoarchaeotales]","f__[Nanoarchaeotaceae]","g__","s__"
"207","125020","k__Archaea","p__Nanoarchaeota","c__[Nanoarchaeoti]","o__[Nanoarchaeotales]","f__[Nanoarchaeotaceae]","g__Nanoarchaeum","s__equitans Kin4-M"
"208","636546","k__Bacteria","p__","c__","o__","f__","g__","s__"
"209","4350649","k__Bacteria","p__[Caldithrix]","c__KSB1","o__","f__","g__","s__"
"210","3607632","k__Bacteria","p__[Caldithrix]","c__KSB1","o__GW-22","f__","g__","s__"
"211","4377506","k__Bacteria","p__[Caldithrix]","c__KSB1","o__MSB-5B5","f__","g__","s__"
"212","820368","k__Bacteria","p__[Caldithrix]","c__KSB1","o__Ucn15732","f__","g__","s__"
"213","159115","k__Bacteria","p__[Caldithrix]","c__KSB1","o__WM105","f__","g__","s__"
"214","4360866","k__Bacteria","p__[Thermi]","c__Deinococci","o__Deinococcales","f__Deinococcaceae","g__CM44","s__"
